Points,Age
45631.0,19
140460.0,20
324273.0,21
801797.0,22
1182857.0,23
1334424.0,24
1354854.0,25
1333708.0,26
1228941.0,27
1085888.0,28
933036.0,29
795654.0,30
624212.0,31
473422.0,32
327361.0,33
240444.0,34
142360.0,35
84125.0,36
50889.0,37
31390.0,38
15518.0,39
5249.0,40
