first_name,last_name,born,Pos,birth_city,birth_state
MIKE,NOVAK,1915,C-F,Chicago,Illinois
MIKE,NOVAK,1915,C-F,Chicago,Illinois
DICK,O'KEEFE,1923,G-F,San Francisco,California
JOHN,OLDHAM,1923,G,Beaver Dam,Kentucky
GENE,OLLRICH,1922,G,Whiting,Indiana
JOHNNY,ORR,1927,F,Yale,Kansas
JOHNNY,ORR,1927,F,Yale,Kansas
JOHNNY,ORR,1927,F,Yale,Kansas
DON,OTTEN,1921,C,Bellefontaine,Ohio
DON,OTTEN,1921,C,Bellefontaine,Ohio
DON,OTTEN,1921,C,Bellefontaine,Ohio
MAC,OTTEN,1925,F-C,Bellefontaine,Ohio
MAC,OTTEN,1925,F-C,Bellefontaine,Ohio
MAC,OTTEN,1925,F-C,Bellefontaine,Ohio
EASY,PARHAM,1921,F-G,Fort Worth,Texas
JACK,PARKINSON,1924,G,Yorktown,Indiana
WARREN,PERKINS,1922,G-F,New Orleans,Louisiana
JACK,PHELAN,1925,F,Chicago,Illinois
JACK,PHELAN,1925,F,Chicago,Illinois
JACK,PHELAN,1925,F,Chicago,Illinois
ANDY,PHILLIP*,1922,G-F,Granite City,Illinois
JIM,POLLARD*,1922,SF,Oakland,California
GEORGE,RATKOVICZ,1922,PF,Chicago,Illinois
DON,RAY,1921,F-C,Mt. Juliet,Tennessee
ARNIE,RISEN*,1924,C,Williamstown,Kentucky
TEX,RITTER,1924,G-F,Richmond,Kentucky
BILL,ROBERTS,1925,C,Fort Wayne,Indiana
RED,ROCHA,1923,C,Hilo,Hawaii
KENNY,ROLLINS,1923,PG,Charlestown,Missouri
JERRY,RULLO,1923,G,Philadelphia,Pennsylvania
ED,SADOWSKI,1917,C,Johnstown,Pennsylvania
ED,SADOWSKI,1917,C,Johnstown,Pennsylvania
ED,SADOWSKI,1917,C,Johnstown,Pennsylvania
KENNY,SAILORS,1921,G,Bushnell,Nebraska
HERM,SCHAEFER,1918,G-F,Fort Wayne,Indiana
FRED,SCHAUS,1925,F,Newark,Ohio
DOLPH,SCHAYES*,1928,F-C,New York,New York
HOWIE,SCHULTZ,1922,PF,St. Paul,Minnesota
HOWIE,SCHULTZ,1922,PF,St. Paul,Minnesota
HOWIE,SCHULTZ,1922,PF,St. Paul,Minnesota
DICK,SCHULZ,1917,F-G,Racine,Wisconsin
DICK,SCHULZ,1917,F-G,Racine,Wisconsin
DICK,SCHULZ,1917,F-G,Racine,Wisconsin
DICK,SCHULZ,1917,F-G,Racine,Wisconsin
FRED,SCOLARI,1922,PG,San Francisco,California
WAYNE,SEE,1923,G,Clemenceau,Arizona
ROLLIE,SELTZ,1924,G-F,McIntosh,Minnesota
JIM,SEMINOFF,1922,G-F,Los Angelse,California
GEORGE,SENESKY,1922,PG,Mahanoy City,Pennsylvania
PAUL,SEYMOUR,1928,G-F,Toledo,Ohio
CARL,SHAEFFER,1924,F-G,Delphi,Indiana
