_c0,Player,height,weight,collage,born,birth_city,birth_state,First_Name,Last_Name
782,Greg Smith,196,88,Western Kentucky University,1947,Princeton,Kentucky,Greg,Smith
783,John Trapp,201,95,"University of Nevada, Las Vegas",1945,Detroit,Michigan,John,Trapp
784,Wes Unseld*,201,111,University of Louisville,1946,Louisville,Kentucky,Wes,Unseld*
785,Dwight Waller,198,99,Tennessee State University,1945,Brownsville,Tennessee,Dwight,Waller
786,Cliff Williams,190,81,Bowling Green State University,1945,Unknown,Unknown,Cliff,Williams
787,Ron Williams,190,85,West Virginia University,1944,Weirton,West Virginia,Ron,Williams
788,Sam Williams,190,81,University of Iowa,1945,Unknown,Unknown,Sam,Williams
789,Kareem Abdul-Jabbar*,218,102,"University of California, Los Angeles",1947,New York,New York,Kareem,Abdul-Jabbar*
790,Lucius Allen,188,79,"University of California, Los Angeles",1947,Kansas City,Kansas,Lucius,Allen
791,Wally Anderzunas,201,99,Creighton University,1946,Unknown,Unknown,Wally,Anderzunas
792,John Arthurs,193,83,Tulane University,1947,Unknown,Unknown,John,Arthurs
793,Johnny Baum,196,90,Temple University,1946,Philadelphia,Pennsylvania,Johnny,Baum
794,Butch Beard,190,83,University of Louisville,1947,Hardinsburg,Kentucky,Butch,Beard
795,Fred Carter,190,83,Mount St. Mary's University,1945,Philadelphia,Pennsylvania,Fred,Carter
796,Bob Dandridge,198,88,Norfolk State University,1947,Richmond,Virginia,Bob,Dandridge
797,Mike Davis,190,83,Virginia Union University,1946,Brooklyn,New York,Mike,Davis
798,Dick Garrett,190,83,Southern Illinois University,1947,Unknown,Unknown,Dick,Garrett
799,Herm Gilliam,190,86,Purdue University,1946,Winston-Salem,North Carolina,Herm,Gilliam
800,Bob Greacen,201,93,Rutgers University,1947,Unknown,Unknown,Bob,Greacen
801,Lamar Green,201,95,Morehead State University,1947,Birmingham,Alabama,Lamar,Green
802,Connie Hawkins*,203,95,University of Iowa,1942,Brooklyn,New York,Connie,Hawkins*
803,Brian Heaney,188,81,Acadia University,1946,Unknown,Unknown,Brian,Heaney
804,Steve Kuberski,203,97,Bradley University,1947,Moline,Illinois,Steve,Kuberski
805,Mike Lynn,201,97,"University of California, Los Angeles",1945,Covina,California,Mike,Lynn
806,Willie McCarter,190,79,Drake University,1946,Gary,Indiana,Willie,McCarter
807,Steve Mix,201,97,University of Toledo,1947,Toledo,Ohio,Steve,Mix
808,Grady O'Malley,196,92,Manhattan College,1948,Boston,Massachusetts,Grady,O'Malley
809,Bud Ogden,198,97,Santa Clara University,1946,San Luis Obispo,California,Bud,Ogden
810,Bob Portman,196,90,Creighton University,1947,San Francisco,California,Bob,Portman
811,Luther Rackley,208,99,Xavier University,1946,Bainbridge,Georgia,Luther,Rackley
812,George Reynolds,193,88,University of Houston,1947,Unknown,Unknown,George,Reynolds
813,Rick Roberson,206,104,University of Cincinnati,1947,Memphis,Tennessee,Rick,Roberson
814,Dave Scholz,203,99,University of Illinois at Urbana-Champaign,1948,Unknown,Unknown,Dave,Scholz
815,Bingo Smith,196,86,Saint Peter's College,1939,Unknown,Unknown,Bingo,Smith
816,Norm Van,196,86,Unknown,1939,Unknown,Unknown,Norm,Van
817,Neal Walk,208,99,University of Florida,1948,Cleveland,Ohio,Neal,Walk
818,John Warren,190,81,St. John's University,1947,Sparta,Georgia,John,Warren
819,Jo Jo,190,81,Unknown,1947,Unknown,Unknown,Jo,Jo
820,Bernie Williams,190,79,La Salle University,1945,Washington,District of Columbia,Bernie,Williams
821,Lee Winfield,188,78,University of North Texas,1947,St. Louis,Missouri,Lee,Winfield
822,Don Adams,198,95,Northwestern University,1947,Atlanta,Georgia,Don,Adams
823,Tiny Archibald*,185,68,University of Texas at El Paso,1948,New York,New York,Tiny,Archibald*
824,Bob Arnzen,196,92,University of Notre Dame,1947,Covington,Kentucky,Bob,Arnzen
825,Dennis Awtrey,208,106,Santa Clara University,1948,Hollywood,California,Dennis,Awtrey
826,Moe Barr,193,88,Duquesne University,1944,Unknown,Unknown,Moe,Barr
827,Tom Black,208,99,South Dakota State University,1941,Unknown,Unknown,Tom,Black
828,Bob Christian,208,115,Grambling State University,1946,Unknown,Unknown,Bob,Christian
829,Jimmy Collins,188,79,New Mexico State University,1946,Unknown,Unknown,Jimmy,Collins
830,Joe Cooke,190,79,Indiana University,1948,Unknown,Unknown,Joe,Cooke
831,Dave Cowens*,206,104,Florida State University,1948,Newport,Kentucky,Dave,Cowens*
832,Pete Cross,206,104,University of San Francisco,1948,Unknown,Unknown,Pete,Cross
833,Terry Driscoll,201,97,Boston College,1947,Winthrop,Massachusetts,Terry,Driscoll
834,Claude English,193,83,University of Rhode Island,1946,Columbus,Georgia,Claude,English
835,Greg Fillmore,216,108,Cheyney University of Pennsylvania,1947,Philadelphia,Pennsylvania,Greg,Fillmore
836,Levi Fontaine,193,86,University of Maryland Eastern Shore,1948,Unknown,Unknown,Levi,Fontaine
837,Jake Ford,190,81,University of Maryland Eastern Shore,1946,Unknown,Unknown,Jake,Ford
838,Gary Freeman,206,95,Oregon State University,1948,Unknown,Unknown,Gary,Freeman
839,Walt Gilmore,198,102,Fort Valley State University,1947,Unknown,Unknown,Walt,Gilmore
840,Spencer Haywood*,203,102,University of Detroit Mercy,1949,Silver City,Mississippi,Spencer,Haywood*
841,Gar Heard,198,99,University of Oklahoma,1948,Hogansville,Georgia,Gar,Heard
842,Al Henry,206,86,University of Wisconsin,1949,Unknown,Unknown,Al,Henry
843,A.W. Holt,206,86,Unknown,1949,Unknown,Unknown,A.W.,Holt
844,Greg Howard,206,97,University of New Mexico,1948,Pittsburgh,Pennsylvania,Greg,Howard
845,John Hummer,206,104,Princeton University,1948,Washington,District of Columbia,John,Hummer
846,Greg Hyder,198,97,Eastern New Mexico University,1948,Unknown,Unknown,Greg,Hyder
847,George Johnson,211,111,Stephen F. Austin State University,1947,Herleton,Texas,George,Johnson
848,John Johnson,201,90,University of Iowa,1947,Carthage,Mississippi,John,Johnson
849,Earnie Killum,190,81,Stetson University,1948,Unknown,Unknown,Earnie,Killum
850,Ron Knight,201,97,"California State University, Los Angeles",1947,Unknown,Unknown,Ron,Knight
851,Sam Lacey,208,106,New Mexico State University,1948,Indianaola,Mississippi,Sam,Lacey
852,Bob Lanier*,211,113,St. Bonaventure University,1948,Buffalo,New York,Bob,Lanier*
853,Pete Maravich*,196,89,Louisiana State University,1947,Aliquippa,Pennsylvania,Pete,Maravich*
854,Harvey Marlatt,190,83,Eastern Michigan University,1948,Unknown,Unknown,Harvey,Marlatt
855,Eddie Mast,206,99,Temple University,1948,Philadelphia,Pennsylvania,Eddie,Mast
856,Jim McMillian,196,97,Columbia University,1948,Raeford,North Carolina,Jim,McMillian
857,Larry Mikan,201,95,University of Minnesota,1948,Unknown,Unknown,Larry,Mikan
858,Rex Morgan,196,86,Jacksonville University,1948,Charleston,Illinois,Rex,Morgan
859,Calvin Murphy*,175,74,Niagara University,1948,Norwalk,Connecticut,Calvin,Murphy*
860,Ralph Ogden,196,92,Santa Clara University,1948,Unknown,Unknown,Ralph,Ogden
861,Curtis Perry,201,99,Missouri State University,1948,Washington,District of Columbia,Curtis,Perry
862,Geoff Petrie,193,86,Princeton University,1948,Darby,Pennsylvania,Geoff,Petrie
863,Mike Price,190,90,University of Illinois at Urbana-Champaign,1948,Russellville,Kentucky,Mike,Price
864,Bob Riley,206,106,Mount St. Mary's University,1948,Unknown,Unknown,Bob,Riley
865,Paul Ruffner,208,102,Brigham Young University,1948,Downey,California,Paul,Ruffner
866,Mike Silliman,198,102,United States Military Academy,1944,Louisville,Kentucky,Mike,Silliman
867,Garfield Smith,206,106,Eastern Kentucky University,1945,Campbellsville,Kentucky,Garfield,Smith
868,Dave Sorenson,203,102,Ohio State University,1948,Unknown,Unknown,Dave,Sorenson
869,Dennis Stewart,198,99,University of Michigan,1947,Unknown,Unknown,Dennis,Stewart
870,Bill Stricker,206,95,University of the Pacific,1948,Unknown,Unknown,Bill,Stricker
871,Gary Suiter,206,102,Midwestern State University,1945,Unknown,Unknown,Gary,Suiter
872,Fred Taylor,196,81,University of Texas-Pan American,1948,Houston,Texas,Fred,Taylor
873,Joe Thomas,198,92,Marquette University,1948,Canton,Georgia,Joe,Thomas
874,Rudy Tomjanovich,203,98,University of Michigan,1948,Hamtramck,Michigan,Rudy,Tomjanovich
875,John Vallely,190,83,"University of California, Los Angeles",1948,Unknown,Unknown,John,Vallely
876,Cornell Warner,206,99,Jackson State University,1948,Jackson,Mississippi,Cornell,Warner
877,Bobby Washington,180,79,Eastern Kentucky University,1947,Unknown,Unknown,Bobby,Washington
878,Jeff Webb,193,77,Kansas State University,1948,Unknown,Unknown,Jeff,Webb
879,Herb White,188,88,University of Georgia,1948,Unknown,Unknown,Herb,White
880,Milt Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington,Milt,Williams
881,Willie Williams,201,90,Florida State University,1946,Unknown,Unknown,Willie,Williams
882,Marv Winkler,185,74,University of Louisiana at Lafayette,1948,Unknown,Unknown,Marv,Winkler
883,Gary Zeller,190,92,Drake University,1947,Unknown,Unknown,Gary,Zeller
884,Bill Zopf,185,77,Duquesne University,1948,Unknown,Unknown,Bill,Zopf
885,Odis Allison,198,88,"University of Nevada, Las Vegas",1949,Unknown,Unknown,Odis,Allison
886,Vic Bartolome,213,104,Oregon State University,1948,Unknown,Unknown,Vic,Bartolome
887,Fred Brown,190,82,University of Iowa,1948,Milwaukee,Wisconsin,Fred,Brown
888,Austin Carr,193,90,University of Notre Dame,1948,Washington,District of Columbia,Austin,Carr
889,Sid Catlett,198,104,University of Notre Dame,1948,Unknown,Unknown,Sid,Catlett
890,Phil Chenier,190,81,University of California,1950,Berkeley,California,Phil,Chenier
891,Jim Cleamons,190,83,Ohio State University,1949,Lincolnton,North Carolina,Jim,Cleamons
892,Charlie Davis,188,72,Wake Forest University,1949,New York,New York,Charlie,Davis
893,Jackie Dinkins,196,95,Voorhees College,1950,Unknown,Unknown,Jackie,Dinkins
894,Ken Durrett,201,86,La Salle University,1948,Pittsburgh,Pennsylvania,Ken,Durrett
895,Dick Gibbs,196,95,University of Texas at El Paso,1948,Ames,Iowa,Dick,Gibbs
896,Clarence Glover,203,95,Western Kentucky University,1947,Horse Cave,Kentucky,Clarence,Glover
897,Jeff Halliburton,196,87,Drake University,1949,Unknown,Unknown,Jeff,Halliburton
898,Fred Hilton,190,83,Grambling State University,1948,Unknown,Unknown,Fred,Hilton
899,Jake Jones,190,81,Assumption College,1949,Unknown,Unknown,Jake,Jones
900,Mo Layton,185,81,University of Southern California,1948,Newark,New Jersey,Mo,Layton
901,Stan Love,206,97,University of Oregon,1949,Los Angeles,California,Stan,Love
902,Charlie Lowery,190,83,University of Puget Sound,1949,Unknown,Unknown,Charlie,Lowery
903,Jim Marsh,201,97,University of Southern California,1946,Unknown,Unknown,Jim,Marsh
904,Jim McDaniels,211,103,Western Kentucky University,1948,Scottsville,Kentucky,Jim,McDaniels
905,Gil McGregor,203,108,Wake Forest University,1949,Unknown,Unknown,Gil,McGregor
906,Kenny McIntosh,201,102,Eastern Michigan University,1949,Detroit,Michigan,Kenny,McIntosh
907,Cliff Meely,203,97,University of Colorado,1947,Rosedale,Mississippi,Cliff,Meely
908,Dean Meminger,183,79,Marquette University,1948,Walterboro,South Carolina,Dean,Meminger
909,John Mengelt,188,88,Auburn University,1949,Lacrosse,Wisconsin,John,Mengelt
910,Barry Nelson,208,104,Duquesne University,1949,Unknown,Unknown,Barry,Nelson
911,Mike Newlin,193,90,University of Utah,1949,Portland,Oregon,Mike,Newlin
912,Willie Norwood,201,99,Alcorn State University,1947,Carrolton,Mississippi,Willie,Norwood
913,Steve Patterson,206,102,"University of California, Los Angeles",1948,Riverside,California,Steve,Patterson
914,Tom Payne,218,108,University of Kentucky,1950,Unknown,Unknown,Tom,Payne
915,Howard Porter,203,99,Villanova University,1948,Stuart,Florida,Howard,Porter
916,Clifford Ray,206,104,University of Oklahoma,1949,Union,South Carolina,Clifford,Ray
917,Jackie Ridgle,193,88,University of California,1948,Altheimer,Arkansas,Jackie,Ridgle
918,Rich Rinaldi,190,88,Saint Peter's College,1949,Unknown,Unknown,Rich,Rinaldi
919,Curtis Rowe,201,102,"University of California, Los Angeles",1949,Bessemer,Alabama,Curtis,Rowe
920,Charlie Scott,196,79,University of North Carolina,1948,New York,New York,Charlie,Scott
921,Elmore Smith,213,113,Kentucky State University,1949,Macon,Georgia,Elmore,Smith
922,Randy Smith,190,81,State University of New York College at Buffalo,1948,Bellport,New York,Randy,Smith
923,William Smith,213,99,Syracuse University,1949,Unknown,Unknown,William,Smith
924,Larry Steele,196,81,University of Kentucky,1949,Greencastle,Indiana,Larry,Steele
925,George Trapp,203,92,"California State University, Long Beach",1948,Detroit,Michigan,George,Trapp
926,Sidney Wicks,203,102,"University of California, Los Angeles",1949,Los Angeles,California,Sidney,Wicks
927,Nate Williams,196,97,Utah State University,1950,Columbia,Louisiana,Nate,Williams
928,Isaiah Wilson,188,79,University of Baltimore,1948,Philadelphia,Pennsylvania,Isaiah,Wilson
929,Dave Wohl,188,83,University of Pennsylvania,1949,Flushing,New York,Dave,Wohl
930,Barry Yates,201,97,University of Maryland,1946,Unknown,Unknown,Barry,Yates
