Player,total_points
Jusuf Nurkic,2013.0
Nate Robinson,2007.0
Isaiah Canaan,1992.0
Tiago Splitter,1989.0
Mike Scott,1988.0
Aaron Gordon,1981.0
Lavoy Allen,1981.0
Gary Harris,1971.0
Alan Anderson,1953.0
C.J. Watson,1950.0
Darrell Arthur,1934.0
Alonzo Gee,1918.0
Marcus Smart,1916.0
Kevin Seraphin,1909.0
Julius Randle,1896.0
Shawn Marion,1879.0
Allen Crabbe,1878.0
Bismack Biyombo,1849.0
Alex Len,1834.0
Donatas Motiejunas,1826.0
Matthew Dellavedova,1804.0
Carl Landry,1804.0
Tony Snell,1802.0
Lance Thomas,1800.0
Andrew Nicholson,1800.0
Josh McRoberts,1792.0
Myles Turner,1792.0
Miles Plumlee,1787.0
Alexey Shved,1783.0
Chris Kaman,1779.0
Kirk Hinrich,1776.0
Ian Mahinmi,1772.0
Kyle O'Quinn,1760.0
Luke Ridnour,1739.0
Andrea Bargnani,1735.0
Martell Webster,1734.0
Buddy Hield,1732.0
Meyers Leonard,1714.0
T.J. Warren,1711.0
Nik Stauskas,1692.0
Garrett Temple,1692.0
Steve Blake,1687.0
Leandro Barbosa,1684.0
Andray Blatche,1664.0
Andrew Bogut,1633.0
Sean Kilpatrick,1631.0
JaVale McGee,1608.0
Quincy Acy,1607.0
Tony Wroten,1604.0
Solomon Hill,1585.0
Ray Allen,1564.0
Quincy Pondexter,1545.0
Aron Baynes,1544.0
John Salmons,1520.0
Jahlil Okafor,1518.0
Tyler Johnson,1506.0
Chase Budinger,1489.0
Frank Kaminsky,1480.0
Emmanuel Mudiay,1475.0
K.J. McDaniels,1475.0
Anderson Varejao,1448.0
Justin Holiday,1403.0
Clint Capela,1392.0
JaMychal Green,1391.0
Henry Sims,1381.0
Alexis Ajinca,1330.0
Luke Babbitt,1321.0
Joe Ingles,1319.0
Joffrey Lauvergne,1308.0
Metta World,1301.0
Dorell Wright,1291.0
Ben Gordon,1288.0
James Anderson,1287.0
Charlie Villanueva,1281.0
Tarik Black,1274.0
Justin Anderson,1272.0
Tyler Hansbrough,1254.0
Chris Andersen,1242.0
Jimmer Fredette,1236.0
Pablo Prigioni,1220.0
Seth Curry,1203.0
Troy Daniels,1187.0
Nick Collison,1179.0
Jordan Hamilton,1179.0
Shane Larkin,1168.0
Andre Roberson,1162.0
Archie Goodwin,1150.0
Will Bynum,1143.0
JaKarr Sampson,1134.0
Kendrick Perkins,1124.0
Elton Brand,1103.0
Tim Frazier,1100.0
Dwight Powell,1095.0
Donald Sloan,1087.0
P.J. Hairston,1074.0
Willie Cauley-Stein,1074.0
Larry Sanders,1074.0
Cole Aldrich,1063.0
Mike Miller,1060.0
James Ennis,1059.0
Ray McCallum,1057.0
Dewayne Dedmon,1052.0
T.J. McConnell,1049.0
Dario Saric,1040.0
Willie Green,1029.0
Andrei Kirilenko,1020.0
Francisco Garcia,1002.0
Chris Copeland,998.0
Jeff Adrien,993.0
Ryan Kelly,981.0
Samuel Dalembert,970.0
Earl Clark,969.0
Reggie Evans,967.0
Cartier Martin,964.0
Ian Clark,945.0
Byron Mullens,942.0
DeJuan Blair,942.0
Chris Johnson,933.0
Stanley Johnson,932.0
Justin Hamilton,932.0
Trey Lyles,928.0
Yogi Ferrell,924.0
John Jenkins,912.0
Norman Powell,909.0
Tyler Ennis,904.0
Mike Muscala,903.0
Steve Novak,892.0
Danny Granger,891.0
Austin Daye,884.0
Shawne Williams,884.0
Josh Richardson,880.0
Bobby Portis,873.0
Gerald Wallace,864.0
Richaun Holmes,846.0
Rondae Hollis-Jefferson,842.0
Rasual Butler,840.0
Matt Bonner,825.0
Jonathon Simmons,814.0
Udonis Haslem,814.0
Jamal Murray,811.0
Jason Maxiell,810.0
Jeffery Taylor,807.0
Dante Exum,805.0
Jermaine O'Neal,803.0
Kendall Marshall,802.0
Lou Amundson,798.0
Larry Nance,798.0
Jerian Grant,796.0
Sebastian Telfair,796.0
Antawn Jamison,796.0
Mario Hezonja,795.0
Robert Sacre,787.0
Derek Fisher,775.0
Shane Battier,770.0
Malcolm Brogdon,767.0
Emeka Okafor,765.0
Shannon Brown,763.0
Marquese Chriss,753.0
A.J. Price,751.0
Eric Maynor,746.0
Ronnie Price,745.0
Brandon Ingram,740.0
Steve Nash,738.0
Kelly Oubre,737.0
Glenn Robinson,736.0
Ryan Hollins,732.0
James Jones,717.0
Festus Ezeli,712.0
MarShon Brooks,712.0
Nemanja Bjelica,711.0
Carlos Delfino,708.0
Pero Antic,708.0
Jordan Farmar,705.0
Justise Winslow,698.0
Noah Vonleh,693.0
Shabazz Napier,682.0
Kyle Anderson,670.0
Montrezl Harrell,667.0
Anthony Bennett,658.0
Jeff Withey,651.0
Xavier Henry,646.0
Jeremy Evans,637.0
Spencer Dinwiddie,635.0
Nando De,630.0
Joel Embiid,627.0
Brandon Rush,625.0
Adreian Payne,621.0
Cameron Payne,603.0
Drew Gooden,594.0
John Lucas,592.0
Jannero Pargo,591.0
Nick Calathes,590.0
Willy Hernangomez,587.0
Greg Smith,582.0
Markel Brown,579.0
Raul Neto,576.0
Joe Harris,567.0
Dahntay Jones,567.0
Willie Reed,556.0
Rashard Lewis,553.0
Jeff Ayres,552.0
Phil Pressey,544.0
Isaiah Whitehead,543.0
Travis Outlaw,543.0
Jeremy Pargo,530.0
Sergio Rodriguez,530.0
Gustavo Ayon,520.0
Jan Vesely,520.0
Jason Richardson,519.0
Chuck Hayes,516.0
Reggie Bullock,516.0
Jaylen Brown,515.0
Sam Dekker,504.0
Nate Wolters,501.0
Doron Lamb,499.0
Rodney McGruder,497.0
Ekpe Udoh,496.0
Darius Morris,491.0
Richard Hamilton,490.0
Perry Jones,488.0
Boban Marjanovic,488.0
Elliot Williams,486.0
Terry Rozier,482.0
Greg Stiemsma,480.0
Damjan Rudez,480.0
Domantas Sabonis,479.0
Joel Freeland,477.0
Caris LeVert,468.0
Jason Kidd,458.0
Orlando Johnson,455.0
Ivan Johnson,452.0
Andrew Bynum,450.0
Timothe Luwawu-Cabarrot,445.0
Tyler Ulis,444.0
Roger Mason,443.0
Brandon Davies,428.0
Mindaugas Kuzminskas,425.0
Andrew Harrison,425.0
Sasha Vujacic,425.0
Cristiano Felicio,421.0
Alex Abrines,406.0
Malcolm Delaney,391.0
Hakim Warrick,388.0
Damien Wilkins,388.0
Hedo Turkoglu,379.0
Robbie Hummel,379.0
Johnny O'Bryant,376.0
Alan Williams,375.0
Chris Douglas-Roberts,375.0
Ronnie Brewer,372.0
Troy Williams,370.0
Tyus Jones,365.0
DeAndre Liggins,364.0
Jordan McRae,359.0
Rashad Vaughn,359.0
Stephen Jackson,356.0
Landry Fields,354.0
Dorian Finney-Smith,350.0
Anthony Randolph,349.0
Jared Cunningham,343.0
Salah Mejri,338.0
Taurean Waller-Prince,335.0
Lamar Odom,330.0
James Michael,326.0
Nazr Mohammed,325.0
Quincy Miller,324.0
Marquis Daniels,324.0
Lucas Nogueira,324.0
Keith Bogans,323.0
Darius Miller,320.0
Jarell Martin,318.0
Marquis Teague,313.0
Chris Singleton,306.0
Juan Hernangomez,305.0
Davis Bertans,303.0
Marcelo Huertas,300.0
Kris Dunn,293.0
Luigi Datome,293.0
Denzel Valentine,291.0
Skal Labissiere,289.0
Diante Garrett,288.0
Sergey Karasev,287.0
Elijah Millsap,287.0
Kenyon Martin,286.0
Mike James,284.0
DeShawn Stevenson,284.0
Ivica Zubac,284.0
Patrick McCaw,282.0
Darrun Hilliard,279.0
Al Harrington,276.0
Chasson Randle,274.0
Daequan Cook,274.0
Joel Anthony,273.0
Ronny Turiaf,270.0
Chris Wilcox,259.0
Victor Claver,258.0
Chauncey Billups,256.0
Delon Wright,253.0
Brendan Haywood,251.0
Daniel Gibson,250.0
Kostas Papanikolaou,249.0
Aaron Gray,249.0
Cleanthony Early,241.0
Paul Zipser,240.0
Jamaal Tinsley,238.0
DeQuan Jones,233.0
Pascal Siakam,229.0
Jabari Brown,227.0
Mitch McGary,227.0
Thon Maker,226.0
Charles Jenkins,222.0
Joe Young,222.0
Reggie Williams,221.0
Ron Baker,215.0
Jarvis Varnado,214.0
Sonny Weems,214.0
Arnett Moultrie,210.0
Lorenzo Brown,206.0
Cory Jefferson,205.0
Bernard James,203.0
James Young,202.0
Anthony Brown,201.0
Ricky Ledo,199.0
Travis Wear,199.0
Jeremy Tyler,190.0
Jorge Gutierrez,190.0
Miroslav Raduljica,189.0
Hasheem Thabeet,187.0
Briante Weber,186.0
Joey Dorsey,184.0
Chris McCullough,184.0
Semaj Christon,183.0
Jerry Stackhouse,182.0
Rodrigue Beaubois,181.0
Mickael Gelabale,181.0
Henry Walker,175.0
Tyshawn Taylor,174.0
Luke Walton,172.0
Erick Green,172.0
Royal Ivey,170.0
Derrick Jones,168.0
Hamed Haddadi,168.0
Kay Felder,166.0
Jakob Poeltl,165.0
Vitor Faverani,164.0
Quinn Cook,158.0
Sam Young,155.0
Maalik Wayns,154.0
Tomas Satoransky,154.0
Toure' Murry,152.0
Nicolas Brussino,150.0
Shawn Long,148.0
Linas Kleiza,148.0
Rasheed Wallace,146.0
Dragan Bender,146.0
Kevon Looney,144.0
Wayne Selden,142.0
Jerome Jordan,138.0
Shavlik Randolph,135.0
Pat Connaughton,134.0
Chris Duhon,133.0
C.J. Wilcox,132.0
Dejounte Murray,130.0
Tyrus Thomas,129.0
James White,125.0
Georgios Papagiannis,124.0
David Nwaba,120.0
Kim English,119.0
Dominique Jones,116.0
Earl Barron,110.0
Nolan Smith,110.0
Terrence Williams,110.0
Earl Watson,108.0
Johan Petro,108.0
Jason Collins,107.0
Fred VanVleet,107.0
Wade Baldwin,106.0
Jonathan Gibson,106.0
Malcolm Thomas,105.0
Josh Harrellson,103.0
Sasha Pavlovic,103.0
Dominic McGuire,102.0
Jordan Adams,101.0
DeAndre' Bembry,101.0
Mickael Pietrus,100.0
Okaro White,98.0
Maurice Ndour,98.0
Daniel Orton,98.0
Axel Toupane,98.0
Devyn Marble,97.0
Kurt Thomas,97.0
R.J. Hunter,97.0
Viacheslav Kravtsov,97.0
Bryce Cotton,96.0
Christian Wood,96.0
Dwight Buycks,95.0
Kevin Jones,95.0
Corey Maggette,95.0
Bryn Forbes,94.0
Furkan Aldemir,93.0
Lamar Patterson,93.0
Grant Hill,93.0
Sheldon McClellan,90.0
James Nunnally,88.0
Tornike Shengelia,88.0
Jarell Eddie,87.0
Cheick Diallo,87.0
Mike Harris,84.0
Russ Smith,83.0
Malik Beasley,83.0
Manny Harris,81.0
Xavier Munford,80.0
Bryce Dejean-Jones,79.0
Gal Mekel,79.0
Malachi Richardson,79.0
Jake Layman,78.0
Malcolm Lee,78.0
Jarnell Stokes,74.0
Nick Johnson,74.0
Josh Howard,74.0
Dionte Christmas,71.0
Shayne Whittington,68.0
Greg Oden,67.0
Devin Ebanks,65.0
Troy Murphy,65.0
Alex Poythress,64.0
Rakeem Christmas,63.0
Bobby Brown,62.0
Henry Ellenson,60.0
Nicolas Laprovittola,59.0
Jordan Mickey,59.0
Deyonta Davis,58.0
Samardo Samuels,58.0
Treveon Graham,57.0
Ben Hansbrough,57.0
Zoran Dragic,56.0
Peyton Siva,54.0
Chris Wright,50.0
Casper Ware,48.0
A.J. Hammons,48.0
Larry Drew,46.0
Alex Stepheson,44.0
Cameron Bairstow,44.0
Jared Jeffries,44.0
Glen Rice,43.0
Jamaal Franklin,42.0
Marcus Camby,42.0
Kwame Brown,41.0
Jarrod Uthoff,40.0
Marshall Plumlee,40.0
Arinze Onuaku,37.0
Damien Inglis,36.0
Pierre Jackson,35.0
Ognjen Kuzmic,35.0
Vladimir Radmanovic,33.0
Grant Jerrett,32.0
Tim Quarterman,31.0
Keyon Dooling,31.0
Terrel Harris,30.0
D.J. White,29.0
Brandon Roy,29.0
Josh Huestis,28.0
Adonis Thomas,28.0
Tony Mitchell,28.0
James Southerland,28.0
Jack Cooley,27.0
Bruno Caboclo,27.0
Vander Blue,27.0
Andris Biedrins,27.0
Nemanja Nedovic,26.0
Walter Tavares,25.0
Justin Harper,25.0
Julyan Stone,25.0
Hilton Armstrong,25.0
Tibor Pleiss,24.0
Daniel Ochefu,24.0
Stephen Zimmerman,23.0
Sasha Kaun,23.0
Joel Bolomboy,22.0
Chris Babb,22.0
Andrew Goudelock,22.0
Georges Niang,21.0
Juwan Howard,21.0
Josh Selby,20.0
Gary Payton,20.0
Aaron Harrison,19.0
Carrick Felix,19.0
Damian Jones,19.0
Luke Zeller,19.0
Othyus Jeffers,18.0
Kris Joseph,18.0
Lester Hudson,18.0
Drew Gordon,17.0
Edy Tavares,16.0
Dexter Pittman,16.0
DeSagana Diop,16.0
Will Cherry,15.0
Kevin Murphy,15.0
Solomon Jones,14.0
Chinanu Onuaku,14.0
Luis Montero,14.0
Marcus Georges-Hunt,14.0
Josh Childress,14.0
Cory Higgins,14.0
Kyle Wiltjer,13.0
Cliff Alexander,10.0
Chris Quinn,10.0
Demetrius Jackson,10.0
Lazar Hayward,10.0
Diamond Stone,10.0
Eric Moreland,10.0
Jerel McNeal,9.0
Eddy Curry,9.0
Tyler Honeycutt,8.0
David Stockton,8.0
Scott Machado,8.0
D.J. Stephens,7.0
Fab Melo,7.0
Keith Appling,6.0
Erik Murphy,6.0
Melvin Ely,6.0
Coty Clarke,6.0
Damion James,6.0
Thanasis Antetokounmpo,6.0
Patrick Christopher,6.0
Ryan Gomes,6.0
Duje Dukan,6.0
Hamady N'Diaye,6.0
Josh Akognon,5.0
Branden Dawson,5.0
Quentin Richardson,5.0
Michael Gbinije,4.0
Brice Johnson,4.0
Josh Powell,4.0
Alex Kirk,4.0
Tim Ohlbrecht,3.0
Isaiah Taylor,3.0
Andre Dawkins,3.0
Mike Tobey,2.0
Sim Bhullar,2.0
DaJuan Summers,2.0
Joel Przybilla,2.0
Shane Edwards,2.0
Mustafa Shakur,1.0
Will Conroy,1.0
Scotty Hopson,1.0
Elias Harris,0.0
Patricio Garino,0.0
Kalin Lucas,0.0
J.J. O'Brien,0.0
David Wear,0.0
Justin Dentmon,0.0
Royce White,0.0
Darko Milicic,0.0
Chris Smith,0.0
Darius Johnson-Odom,0.0
Matt Carroll,0.0
Jerrelle Benimon,0.0
Danuel House,0.0
Ben Bentil,0.0
