height,points
160,7205.0
203,1246804.0
183,328847.0
188,658359.0
221,26642.0
206,1430734.0
168,8616.0
224,26130.0
218,109146.0
208,933368.0
198,1152426.0
185,588353.0
201,1439396.0
229,27774.0
190,1092522.0
193,851968.0
231,4627.0
213,471202.0
170,2295.0
178,74555.0
180,81993.0
173,4227.0
211,776008.0
165,6955.0
175,27936.0
196,1005313.0
226,317.0
216,176734.0
